Токен	Частота появления в train
крым_NOUN	17
валдбериз_NOUN	17
маск_NOUN	17
галкин_NOUN	17
приобретаться_VERB	17
00_X	17
орешкин_NOUN	17
маломерка_NOUN	17
релокация_NOUN	17
далай_NOUN	16
пропутинский_ADJ	16
полчаса_NOUN	16
силуановый_ADJ	16
шойгу_NOUN	16
ноут_NOUN	16
колёсико_NOUN	16
75_X	16
собянин_NOUN	16
соловьёв_NOUN	16
37_X	16
обмотать_ADJ	16
небыть_VERB	16
1000р_NOUN	16
ким_NOUN	16
чен_NOUN	16
ын_X	16
оснастить_ADJ	16
иноагент_NOUN	16
якобы_CONJ	16
оторвать_ADJ	16
58_X	16
лавров_NOUN	16
запаять_ADJ	15
евросоюз_NOUN	15
сепара_NOUN	15
геймпада_NOUN	15
анатолиевич_NOUN	15
например_CONJ	15
соприкасование_NOUN	15
влася_NOUN	15
голимый_ADJ	15
ботильон_NOUN	15
цзиньпин_NOUN	15
31_X	15
29_X	15
scarlett_X	15
джостик_NOUN	15
жириновский_NOUN	15
прошить_ADJ	15
ангажировать_ADJ	15
безос_NOUN	15
reebok_X	14
обама_NOUN	14
госканал_NOUN	14
300р_NOUN	14
оккупировать_ADJ	14
нечего_PRON	14
000_X	14
redmi_X	14
сорвать_ADJ	14
капец_NOUN	14
закулиса_NOUN	14
polaroid_X	14
разочарованный_ADJ	14
государоственный_ADJ	14
mop_X	14
xr_X	14
симка_NOUN	14
supra_X	14
180_X	14
800_X	14
фактчекинг_NOUN	14
ecco_X	14
вольфович_NOUN	14
центробанк_NOUN	14
аж_CONJ	14
отпариватель_NOUN	14
116_X	13
98_X	13
горбачёв_NOUN	13
s21_X	13
mango_X	13
второе_NOUN	13
запаковать_ADJ	13
спортмастер_NOUN	13
eot6640xo_X	13
минфин_NOUN	13
тд_X	13
руснить_VERB	13
50р_X	13
ельцин_NOUN	13
dw5080_X	13
порезать_ADJ	13
закулистный_ADJ	13
провакация_NOUN	13
41_X	13
хрущёв_NOUN	13
irobot_X	13
вица_NOUN	13
инфоциган_NOUN	13
моссад_NOUN	13
3000_X	13
350_X	13
катышек_NOUN	13
микро_ADV	12
zanussi_X	12
5000_X	12
тавар_NOUN	12
скабеева_NOUN	12
5ksb560_X	12
приклеить_ADJ	12
считываться_VERB	12
fv9430_X	12
рвать_ADJ	12
nespresso_X	12
b_X	12
враньё_NOUN	12
блин_INTJ	12
55_X	12
верно_CONJ	12
80_X	12
08_X	12
незнать_VERB	12
lacoste_X	12
инстасамка_NOUN	12
supersonic_X	12
согласно_ADP	12
черненко_NOUN	12
ecam22110sb_X	12
чубайс_NOUN	12
мм_INTJ	12
xxl_X	11
мытьё_NOUN	11
сливной_ADJ	11
hurom_X	11
h200_X	11
кремлёбот_NOUN	11
нато_NOUN	11
входящий_ADJ	11
батч_NOUN	11
тыс_NOUN	11
впаривать_VERB	11
ввиду_ADP	11
отпаривания_NOUN	11
лопнуть_ADJ	11
целофан_NOUN	11
крепёж_NOUN	11
зарядникнуть_VERB	11
хна_NOUN	11
сяомь_NOUN	11
2023_X	11
wat28440oe_X	11
модить_VERB	11
бурьба_NOUN	11
прежде_ADP	11
попользоваться_VERB	11
otg_X	11
пришол_NOUN	11
4000_X	11
уверить_ADJ	11
baguette_X	10
захаров_NOUN	10
облезть_VERB	10
разломать_ADJ	10
необходимо_ADV	10
бу_X	10
медведев_NOUN	10
расчёска_NOUN	10
галаксить_VERB	10
пугачёв_NOUN	10
вобщий_ADJ	10
нечто_PRON	10
мусорк_NOUN	10
исключительно_PART	10
здоха_NOUN	10
всë_X	10
электризоваться_VERB	10
разорваный_ADJ	10
hilfiger_X	10
2600_X	10
андройда_NOUN	10
скраб_NOUN	10
минь_NOUN	10
вкл_X	10
1200_X	10
a51_X	10
120_X	10
47_X	10
юсб_X	10
hd08_X	10
важно_ADV	10
продовца_NOUN	10
mc28h5015ak_X	10
подклад_NOUN	10
164_X	10
отправить_ADJ	9
вдоль_ADP	9
gc9680_X	9
4х_X	9
ковёр_NOUN	9
iwsc_X	9
наклеить_ADJ	9
158_X	9
поскольку_CONJ	9
возле_ADP	9
realme_X	9
2500_X	9
относительно_ADP	9
антимайдан_NOUN	9
aeg_X	9
али_CONJ	9
часики_NOUN	9
170_X	9
140_X	9
a50_X	9
vga_X	9
освежитель_NOUN	9
160_X	9
а51_X	9
s22_X	9
02_X	9
отклеиваться_VERB	9
неизвестно_ADV	9
притензия_NOUN	9
печалька_NOUN	9
фикспрайс_NOUN	9
холодное_NOUN	9
вно_X	9
2шт_X	9
m9003_X	9
лажа_NOUN	9
qe55q60b_X	9
сфотографировать_VERB	9
03_X	9
95_X	9
поносить_ADJ	9
reima_X	9
соответсвовать_VERB	9
liebherr_X	9
подпортить_ADJ	8
замотать_ADJ	8
oled55b24la_X	8
хуавеять_VERB	8
iherb_X	8
кожзам_NOUN	8
вайлбериз_NOUN	8
защитить_ADJ	8
2019_X	8
блютус_NOUN	8
3х_X	8
powerbank_X	8
s10_X	8
нажиматься_VERB	8
ибо_CONJ	8
74_X	8
старое_NOUN	8
заказываться_VERB	8
завернуть_ADJ	8
ep5369_X	8
пришëть_VERB	8
шаров_NOUN	8
кардиган_NOUN	8
100руб_NOUN	8
угга_NOUN	8
ничто_PRON	8
набиулина_NOUN	8
вайлберис_NOUN	8
мицелярка_NOUN	8
кадыров_NOUN	8
недокомплект_NOUN	8
неработать_VERB	8
kf7140_X	8
каробка_NOUN	8
92_X	8
треш_NOUN	8
разачаровать_ADJ	8
переоценить_ADJ	8
134_X	8
бракованый_ADJ	8
виндовс_NOUN	8
900_X	8
раскрошить_ADJ	8
v12_X	8
пошить_ADJ	8
отклеить_ADJ	8
понадеяться_VERB	8
оооочень_ADV	8
авось_PART	8
шуруповерт_NOUN	8
r_X	8
монопод_NOUN	8
владимирович_NOUN	8
растроить_ADJ	8
бодить_VERB	8
рассыпать_ADJ	8
ariston_X	8
сопля_NOUN	8
tapered_X	8
айпад_NOUN	7
содрать_ADJ	7
стремный_ADJ	7
lenovo_X	7
рибок_NOUN	7
найк_NOUN	7
s9_X	7
раскрытый_ADJ	7
глючить_VERB	7
5105_X	7
клеёнка_NOUN	7
игнора_NOUN	7
122_X	7
погнутый_ADJ	7
оч_X	7
синтепон_NOUN	7
здорово_INTJ	7
налезть_VERB	7
gc_X	7
b247sluv_X	7
разместить_ADJ	7
перемять_ADJ	7
пузырёк_NOUN	7
пищалка_NOUN	7
потратиться_VERB	7
часами_ADV	7
kd_X	7
комбез_NOUN	7
проц_NOUN	7
повредиться_VERB	7
проблематично_ADV	7
07_X	7
распаковать_ADJ	7
картридер_NOUN	7
турбо_ADV	7
киберпропагандизм_NOUN	7
рено_NOUN	7
33_X	7
размазаться_VERB	7
выкинуть_ADJ	7
de107_X	7
72_X	7
попросту_ADV	7
геокс_NOUN	7
прописать_ADJ	7
250_X	7
hdd_X	7
mexx_X	7
рюш_NOUN	7
валдберрис_NOUN	7
разрядить_ADJ	7
неоригинал_NOUN	7
переклеёный_ADJ	7
разве_PART	7
n_X	7
99_X	7
вокруг_ADP	7
подгорать_VERB	7
t_X	7
будт_NOUN	7
пересорт_NOUN	7
заклеёный_ADJ	7
бюстгалтер_NOUN	7
119_X	7
ютуба_NOUN	7
2018_X	7
распечатать_ADJ	7
стрёмный_ADJ	7
дихлофос_NOUN	7
регулироваться_VERB	7
hotpoint_X	7
мерил_NOUN	7
обнобокий_ADJ	6
взкляд_NOUN	6
сместить_ADJ	6
водяной_NOUN	6
тр_X	6
отшлифовать_ADJ	6
650_X	6
1400_X	6
боков_NOUN	6
ps3_X	6
туфта_NOUN	6
ду_X	6
списаться_VERB	6
тонковатый_ADJ	6
62_X	6
крошиться_VERB	6
i_X	6
сенсера_NOUN	6
converse_X	6
заклеин_NOUN	6
замедлить_ADJ	6
замотанный_ADJ	6
нарисовать_ADJ	6
husqvarna_X	6
v_X	6
вырвать_ADJ	6
skoda_X	6
купиться_VERB	6
кармашек_NOUN	6
завязать_ADJ	6
галить_ADJ	6
де_PART	6
вилдберис_NOUN	6
175_X	6
haier_X	6
176_X	6
2й_X	6
аккамулятор_NOUN	6
ronin_X	6
kitfort_X	6
кидалово_NOUN	6
